时间(s)	Roll(°)	Pitch(°)	Yaw(°)	Servo1	Servo2	Servo3	Servo4
30	1.04	1.40	155.74	1100	1100	1100	1100
30	1.04	1.40	155.74	1100	1100	1100	1100
30	1.04	1.40	155.74	1100	1100	1100	1100
30	1.04	1.40	155.74	1100	1100	1100	1100
30	1.04	1.40	155.74	1100	1100	1100	1100
30	1.04	1.40	155.74	1100	1100	1100	1100
30	1.04	1.40	155.74	1100	1100	1100	1100
30	1.04	1.40	155.74	1100	1100	1100	1100
30	1.04	1.40	155.74	1100	1100	1100	1100
31	1.04	1.40	155.74	1100	1100	1100	1100
31	0.85	1.05	152.99	1100	1100	1100	1100
31	0.85	1.05	152.99	1100	1100	1100	1100
31	0.85	1.05	152.99	1100	1100	1100	1100
31	0.85	1.05	152.99	1100	1100	1100	1100
31	0.85	1.05	152.99	1100	1100	1100	1100
31	0.85	1.05	152.99	1100	1100	1100	1100
31	0.85	1.05	152.99	1100	1100	1100	1100
31	0.85	1.05	152.99	1100	1100	1100	1100
33	0.85	1.05	152.99	1100	1100	1100	1100
33	0.85	1.05	152.99	1100	1100	1100	1100
33	0.85	1.05	152.99	1100	1100	1100	1100
33	0.75	0.98	153.34	1100	1100	1100	1100
33	0.75	0.98	153.34	1100	1100	1100	1100
33	0.75	0.98	153.34	1100	1100	1100	1100
33	0.75	0.98	153.34	1100	1100	1100	1100
34	0.75	0.98	153.34	1100	1100	1100	1100
34	0.75	0.98	153.34	1100	1100	1100	1100
34	0.75	0.98	153.34	1100	1100	1100	1100
34	0.75	0.98	153.34	1100	1100	1100	1100
34	0.75	0.98	153.34	1100	1100	1100	1100
34	0.75	0.98	153.34	1100	1100	1100	1100
34	0.75	0.98	153.34	1100	1100	1100	1100
34	0.66	0.92	153.69	1100	1100	1100	1100
34	0.66	0.92	153.69	1100	1100	1100	1100
34	0.66	0.92	153.69	1100	1100	1100	1100
35	0.66	0.92	153.69	1100	1100	1100	1100
35	0.66	0.92	153.69	1100	1100	1100	1100
35	0.66	0.92	153.69	1100	1100	1100	1100
35	0.66	0.92	153.69	1100	1100	1100	1100
35	0.66	0.92	153.69	1100	1100	1100	1100
35	0.66	0.92	153.69	1100	1100	1100	1100
35	0.66	0.92	153.69	1100	1100	1100	1100
35	0.58	0.86	154.03	1100	1100	1100	1100
35	0.58	0.86	154.03	1100	1100	1100	1100
35	0.58	0.86	154.03	1100	1100	1100	1100
36	0.58	0.86	154.03	1100	1100	1100	1100
36	0.58	0.86	154.03	1100	1100	1100	1100
36	0.58	0.86	154.03	1100	1100	1100	1100
36	0.58	0.86	154.03	1100	1100	1100	1100
36	0.58	0.86	154.03	1100	1100	1100	1100
36	0.58	0.86	154.03	1100	1100	1100	1100
36	0.51	0.81	154.36	1100	1100	1100	1100
36	0.51	0.81	154.36	1100	1100	1100	1100
36	0.51	0.81	154.36	1100	1100	1100	1100
36	0.51	0.81	154.36	1100	1100	1100	1100
37	0.51	0.81	154.36	1100	1100	1100	1100
37	0.51	0.81	154.36	1100	1100	1100	1100
37	0.51	0.81	154.36	1100	1100	1100	1100
37	0.51	0.81	154.36	1100	1100	1100	1100
37	0.45	0.77	154.66	1100	1100	1100	1100
37	0.45	0.77	154.66	1100	1100	1100	1100
37	0.45	0.77	154.66	1100	1100	1100	1100
37	0.45	0.77	154.66	1100	1100	1100	1100
37	0.45	0.77	154.66	1100	1100	1100	1100
37	0.45	0.77	154.66	1100	1100	1100	1100
38	0.45	0.77	154.66	1100	1100	1100	1100
38	0.45	0.77	154.66	1100	1100	1100	1100
38	0.39	0.73	154.94	1100	1100	1100	1100
38	0.39	0.73	154.94	1100	1100	1100	1100
38	0.39	0.73	154.94	1100	1100	1100	1100
38	0.39	0.73	154.94	1100	1100	1100	1100
38	0.39	0.73	154.94	1100	1100	1100	1100
38	0.39	0.73	154.94	1100	1100	1100	1100
38	0.39	0.73	154.94	1100	1100	1100	1100
38	0.39	0.73	154.94	1100	1100	1100	1100
39	0.35	0.69	155.23	1100	1100	1100	1100
39	0.35	0.69	155.23	1100	1100	1100	1100
39	0.35	0.69	155.23	1100	1100	1100	1100
39	0.35	0.69	155.23	1100	1100	1100	1100
39	0.35	0.69	155.23	1100	1100	1100	1100
39	0.35	0.69	155.23	1100	1100	1100	1100
39	0.35	0.69	155.23	1100	1100	1100	1100
39	0.35	0.69	155.23	1100	1100	1100	1100
39	0.31	0.66	155.51	1100	1100	1100	1100
39	0.31	0.66	155.51	1100	1100	1100	1100
40	0.31	0.66	155.51	1100	1100	1100	1100
40	0.31	0.66	155.51	1100	1100	1100	1100
40	0.31	0.66	155.51	1100	1100	1100	1100
40	0.31	0.66	155.51	1100	1100	1100	1100
40	0.31	0.66	155.51	1100	1100	1100	1100
40	0.31	0.66	155.51	1100	1100	1100	1100
40	0.31	0.66	155.51	1100	1100	1100	1100
40	0.26	0.63	155.79	1100	1100	1100	1100
40	0.26	0.63	155.79	1100	1100	1100	1100
40	0.26	0.63	155.79	1100	1100	1100	1100
41	0.26	0.63	155.79	1100	1100	1100	1100
41	0.26	0.63	155.79	1100	1100	1100	1100
41	0.26	0.63	155.79	1100	1100	1100	1100
41	0.26	0.63	155.79	1100	1100	1100	1100
41	0.26	0.63	155.79	1100	1100	1100	1100
41	0.22	0.61	156.06	1100	1100	1100	1100
41	0.22	0.61	156.06	1100	1100	1100	1100
41	0.22	0.61	156.06	1100	1100	1100	1100
41	0.22	0.61	156.06	1100	1100	1100	1100
41	0.22	0.61	156.06	1100	1100	1100	1100
42	0.22	0.61	156.06	1100	1100	1100	1100
42	0.22	0.61	156.06	1100	1100	1100	1100
42	0.22	0.61	156.06	1100	1100	1100	1100
42	0.22	0.61	156.06	1100	1100	1100	1100
42	0.22	0.61	156.06	1100	1100	1100	1100
42	-0.29	1.25	156.33	1100	1100	1100	1100
42	-0.29	1.25	156.33	1100	1100	1100	1100
42	-0.29	1.25	156.33	1100	1100	1100	1100
42	-0.29	1.25	156.33	1100	1100	1100	1100
42	-0.29	1.25	156.33	1100	1100	1100	1100
43	-0.29	1.25	156.33	1100	1100	1100	1100
43	-0.29	1.25	156.33	1100	1100	1100	1100
43	-0.29	1.25	156.33	1100	1100	1100	1100
43	-3.45	-2.39	144.85	1100	1100	1100	1100
43	-3.45	-2.39	144.85	1100	1100	1100	1100
43	-3.45	-2.39	144.85	1100	1100	1100	1100
43	-3.45	-2.39	144.85	1100	1100	1100	1100
43	-3.45	-2.39	144.85	1100	1100	1100	1100
43	-3.45	-2.39	144.85	1100	1100	1100	1100
43	-3.45	-2.39	144.85	1100	1100	1100	1100
44	-3.45	-2.39	144.85	1100	1100	1100	1100
44	-3.45	-2.39	144.85	1100	1100	1100	1100
44	-1.70	7.34	127.37	1100	1100	1100	1100
44	-1.70	7.34	127.37	1100	1100	1100	1100
44	-1.70	7.34	127.37	1100	1100	1100	1100
44	-1.70	7.34	127.37	1100	1100	1100	1100
44	-1.70	7.34	127.37	1100	1100	1100	1100
44	-1.70	7.34	127.37	1100	1100	1100	1100
44	-1.70	7.34	127.37	1100	1100	1100	1100
44	-1.70	7.34	127.37	1100	1100	1100	1100
45	-1.38	5.87	128.50	1100	1100	1100	1100
45	-1.38	5.87	128.50	1100	1100	1100	1100
45	-1.38	5.87	128.50	1100	1100	1100	1100
45	-1.38	5.87	128.50	1100	1100	1100	1100
45	-1.38	5.87	128.50	1100	1100	1100	1100
45	-1.38	5.87	128.50	1100	1100	1100	1100
45	-1.38	5.87	128.50	1100	1100	1100	1100
45	-1.38	5.87	128.50	1100	1100	1100	1100
45	0.47	0.72	130.07	1100	1100	1100	1100
45	0.47	0.72	130.07	1100	1100	1100	1100
46	0.47	0.72	130.07	1100	1100	1100	1100
46	0.47	0.72	130.07	1100	1100	1100	1100
46	0.47	0.72	130.07	1100	1100	1100	1100
46	0.47	0.72	130.07	1100	1100	1100	1100
46	0.47	0.72	130.07	1100	1100	1100	1100
46	0.47	0.72	130.07	1100	1100	1100	1100
46	0.42	0.20	130.24	1100	1100	1100	1100
46	0.42	0.20	130.24	1100	1100	1100	1100
46	0.42	0.20	130.24	1100	1100	1100	1100
46	0.42	0.20	130.24	1100	1100	1100	1100
47	0.42	0.20	130.24	1100	1100	1100	1100
47	0.42	0.20	130.24	1100	1100	1100	1100
47	0.42	0.20	130.24	1100	1100	1100	1100
47	0.38	0.24	130.59	1100	1100	1100	1100
47	0.38	0.24	130.59	1100	1100	1100	1100
47	0.38	0.24	130.59	1100	1100	1100	1100
47	0.38	0.24	130.59	1100	1100	1100	1100
47	0.38	0.24	130.59	1100	1100	1100	1100
47	0.38	0.24	130.59	1100	1100	1100	1100
47	0.38	0.24	130.59	1100	1100	1100	1100
48	0.38	0.24	130.59	1100	1100	1100	1100
48	0.35	0.27	130.93	1100	1100	1100	1100
48	0.35	0.27	130.93	1100	1100	1100	1100
48	0.35	0.27	130.93	1100	1100	1100	1100
48	0.35	0.27	130.93	1100	1100	1100	1100
48	0.35	0.27	130.93	1100	1100	1100	1100
48	0.35	0.27	130.93	1100	1100	1100	1100
48	0.35	0.27	130.93	1100	1100	1100	1100
